Designator,Mid X,Mid Y,Rotation,Layer
D1,70.44,-39.92,90.0,top
D10,109.79,-57.47,90.0,top
D11,128.74,-57.57,90.0,top
D12,148.24,-55.02,90.0,top
D13,167.14,-56.87,90.0,top
D14,186.69,-57.02,90.0,top
D15,68.74,-78.02,90.0,top
D16,91.04,-77.47,90.0,top
D17,109.64,-76.67,90.0,top
D18,128.24,-76.17,90.0,top
D19,147.74,-74.32,90.0,top
D2,90.589999,-38.52,90.0,top
D20,166.49,-76.27,90.0,top
D21,187.04,-76.17,90.0,top
D22,67.74,-96.47,90.0,top
D23,90.89,-96.42,90.0,top
D24,109.69,-94.77,90.0,top
D25,128.59,-95.02,90.0,top
D26,148.04,-93.02,90.0,top
D27,166.74,-95.17,90.0,top
D28,187.29,-93.97,90.0,top
D29,70.19,-116.42,90.0,top
D3,109.99,-38.37,90.0,top
D30,91.24,-116.32,90.0,top
D31,109.99,-114.92,90.0,top
D32,131.84,-114.72,90.0,top
D33,157.29,-114.62,90.0,top
D34,171.9,-118.5,230.0,top
D35,191.05,-125.25,230.0,top
D4,128.49,-38.17,90.0,top
D5,148.34,-36.37,90.0,top
D6,167.39,-38.27,90.0,top
D7,187.19,-38.02,90.0,top
D8,69.79,-59.07,90.0,top
D9,90.79,-58.22,90.0,top
ENC1,209.41,-90.2483,0.0,top
J1,228.44,-24.3825,0.0,top
RSW1,194.7,-30.85,90.0,top
Rrx1,232.5,-38.905,270.0,top
Rtx1,229.4,-38.855,270.0,top
SW1,61.653125,-43.4175,0.0,top
SW10,102.2025,-61.01,0.0,top
SW11,121.3025,-61.01,0.0,top
SW12,140.4025,-58.47,0.0,top
SW13,159.5325,-60.85,0.0,top
SW14,178.5925,-60.88,0.0,top
SW15,56.884375,-81.6175,0.0,top
SW16,83.2025,-81.57,0.0,top
SW17,102.2025,-80.06,0.0,top
SW18,121.3025,-80.11,0.0,top
SW19,140.3925,-77.58,0.0,top
SW2,83.1025,-43.37,0.0,top
SW20,159.5525,-79.92,0.0,top
SW21,178.5525,-79.92,0.0,top
SW22,56.874375,-100.7475,0.0,top
SW23,83.1525,-100.67,0.0,top
SW24,102.2025,-99.21,0.0,top
SW25,121.3125,-99.18,0.0,top
SW26,140.4025,-96.66,0.0,top
SW27,159.5075,-98.945,0.0,top
SW28,178.5525,-98.97,0.0,top
SW29,61.546875,-119.7925,0.0,top
SW3,102.2225,-41.92,0.0,top
SW30,83.1125,-119.81,0.0,top
SW31,102.2675,-118.275,0.0,top
SW32,123.763125,-118.3175,0.0,top
SW33,147.643125,-118.3075,0.0,top
SW34,170.349417,-130.394586,50.0,top
SW35,189.45058,-137.564196,50.0,top
SW4,121.3025,-41.92,0.0,top
SW5,140.4025,-39.42,0.0,top
SW6,159.5025,-41.77,0.0,top
SW7,178.6025,-41.77,0.0,top
SW8,59.28375,-62.4975,0.0,top
SW9,83.2025,-62.47,0.0,top
TH2,113.64,-30.72,0.0,top
TH3,49.04,-29.57,0.0,top
TH4_2,215.85,-127.8,0.0,top
TH4,126.35,-133.6,0.0,top
TH5,182.2,-27.65,0.0,top
TH6,46.25,-125.7,0.0,top
TH7,108.69,-86.82,0.0,top
U1,213.62,-35.82,0.0,top
